Cue_L1;Context_L1;L2;Pron_IPA;Pron_Simple;Meaning_L1;Literal_L1;Usage_L1;VarPlural_L2;VarPlural_IPA;VarPlural_Simple;Resp_L2;Resp_Pron_IPA;Resp_Pron_Simple;Resp_Meaning_L1;Notes_L1;Audio_L2;Audio_VarPlural;Audio_Resp;Tags
"Freut mich (dich/Sie kennenzulernen)";"Direkt nach dem Austausch der Namen.";"Memnun oldum.";"memˈnun olˈdum";"mem-NUN ol-DUM";"Freut mich.";"";"Standardphrase nach einer Vorstellung. Passt sowohl in eher formellen als auch in informellen Situationen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_intro_nice_to_meet_you.mp3]";"";"";"lang:tr-TR L1:de-DE cat:introduction type:single"
"Wie heißt du?";"Wenn du eine Person nach ihrem Namen fragst (duzen).";"Adın ne?";"aˈdɯn ne";"a-DIN ne";"Wie heißt du?";"";"Informelle Frage, z.B. bei Gleichaltrigen oder Kindern. Für höflich oder mehrere Personen gibt es die Variante unten.";"Adınız ne?";"aˈdɯnɯz ne";"a-dı-NIZ ne";"";"";"";"";"„Adın“ = dein Name (du), „Adınız“ = Ihr Name / euer Name (Sie/Plural).";"[sound:deDE-trTR_intro_whats_your_name.mp3]";"[sound:deDE-trTR_intro_whats_your_name__plural.mp3]";"";"lang:tr-TR L1:de-DE cat:introduction type:single"
"Ich verstehe nicht.";"Wenn du etwas nicht verstanden hast, z.B. im Gespräch oder im Laden.";"Anlamıyorum.";"anlaˈmɯjoɾum";"an-la-mı-JO-rum";"Ich verstehe (es) nicht.";"";"Sehr nützlich in allen Situationen, wenn du nachfragen oder signalisieren willst, dass du nicht mitkommst.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_lang_i_dont_understand.mp3]";"";"";"lang:tr-TR L1:de-DE cat:language type:single"
"Sprechen Sie Englisch?";"Wenn du wissen möchtest, ob jemand mit dir auf Englisch sprechen kann.";"İngilizce biliyor musunuz?";"iŋɡiˈlizd͡ʒe biˈliːjoɾ muˈsunuz";"in-gi-LIZ-dsche bi-LI-jor mu-SU-nuz";"Sprechen Sie Englisch?";"Wissen/Kennen Sie Englisch?";"In der Türkei ist Englisch hilfreicher als Deutsch. Diese Frage ist höflich und funktioniert in fast allen Situationen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_lang_do_you_speak_english.mp3]";"";"";"lang:tr-TR L1:de-DE cat:language type:single"
"Könnten Sie bitte langsamer sprechen?";"Wenn jemand zu schnell spricht und du es nicht gut verstehst.";"Daha yavaş konuşabilir misiniz, lütfen?";"daˈha jaˈvaʃ konuʃaˈbiːɾ miˈsiniz ˈlytfen";"da-HA ya-WASCH ko-nu-scha-BI-lir mi-SI-niz LÜT-fen";"Könnten Sie bitte langsamer sprechen?";"";"Höfliche, aber direkte Bitte. Sehr praktisch, wenn jemand merkt, dass du Türkisch lernst.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_lang_speak_more_slowly.mp3]";"";"";"lang:tr-TR L1:de-DE cat:language type:single"
"Mein Türkisch ist nicht so gut.";"Wenn du vorher warnen willst, dass du nur einfaches Türkisch kannst.";"Türkçem çok iyi değil.";"ˈtyɾkt͡ʃem t͡ʃok iˈji ˈdiːl";"TÜRK-tschem tschoK i-YI DIIL";"Mein Türkisch ist nicht so gut.";"";"Klingt sehr natürlich und selbstironisch. Gute Einleitung, um um Geduld oder langsamere Sprache zu bitten.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_lang_my_turkish_not_good.mp3]";"";"";"lang:tr-TR L1:de-DE cat:language type:single"
"Wie sagt man das auf Türkisch?";"Wenn du auf einen Gegenstand zeigen und nach dem türkischen Wort fragen möchtest.";"Bu Türkçe nasıl söylenir?";"bu ˈtyɾkt͡ʃe ˈnɑsɯl søjleˈniɾ";"bu TÜRK-tsche NA-sıl söy-le-NIR";"Wie sagt man das auf Türkisch?";"";"Sehr praktisch beim Lernen vor Ort – du kannst dabei auf das Ding zeigen, über das du sprechen willst.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_lang_how_do_you_say_this.mp3]";"";"";"lang:tr-TR L1:de-DE cat:language type:single"
"Könnte ich die Speisekarte bekommen?";"Wenn du im Restaurant eine Speisekarte möchtest.";"Menü alabilir miyim?";"ˈmeny alaˈbiːɾ miˈjim";"ME-nü a-la-bi-LIR mi-JIM";"Könnte ich die Speisekarte bekommen?";"";"Höfliche und sehr übliche Formulierung im Restaurant oder Café.";"Menü alabilir miyiz?";"ˈmeny alaˈbiːɾ miˈjiz";"ME-nü a-la-bi-LIR mi-JIZ";"";"";"";"";"Mit „-miyim“ sprichst du als Einzelperson, mit „-miyiz“ fragst du für euch als Gruppe.";"[sound:deDE-trTR_food_menu_please.mp3]";"[sound:deDE-trTR_food_menu_please__plural.mp3]";"";"lang:tr-TR L1:de-DE cat:food type:single"
"Einen Kaffee, bitte.";"Wenn du im Café oder Restaurant Kaffee bestellst.";"Bir kahve, lütfen.";"biɾ kahˈve ˈlytfen";"bir kah-VE LÜT-fen";"Einen Kaffee, bitte.";"";"So bestellst du allgemein Kaffee. Für türkischen Mokka kannst du z.B. „Bir Türk kahvesi, lütfen.“ sagen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_food_order_coffee.mp3]";"";"";"lang:tr-TR L1:de-DE cat:food type:single"
"Ein Wasser, bitte.";"Wenn du im Restaurant oder Kiosk Wasser bestellst.";"Bir su, lütfen.";"biɾ su ˈlytfen";"bir su LÜT-fen";"Ein Wasser, bitte.";"";"Sehr einfache, aber typische Bestellung. In Restaurants bekommst du meist eine Flasche stilles Wasser.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_food_order_water.mp3]";"";"";"lang:tr-TR L1:de-DE cat:food type:single"
"Die Rechnung, bitte.";"Wenn du im Restaurant oder Café bezahlen möchtest.";"Hesap alabilir miyim?";"heˈsap alaˈbiːɾ miˈjim";"he-SAP a-la-bi-LIR mi-JIM";"Könnte ich die Rechnung bekommen?";"";"Sehr gebräuchliche und höfliche Form. Du kannst auch die Hand leicht heben und „Hesap, lütfen.“ sagen.";"Hesap alabilir miyiz?";"heˈsap alaˈbiːɾ miˈjiz";"he-SAP a-la-bi-LIR mi-JIZ";"";"";"";"";"";"[sound:deDE-trTR_food_bill_please.mp3]";"[sound:deDE-trTR_food_bill_please__plural.mp3]";"";"lang:tr-TR L1:de-DE cat:food type:single"
"Ich esse kein Fleisch.";"Wenn du im Restaurant erklären willst, dass du kein Fleisch isst.";"Et yemiyorum.";"et jeˈmijoɾum";"et je-mi-JO-rum";"Ich esse kein Fleisch.";"";"In vielen Situationen hilfreicher als „Ich bin Vegetarier/in“, weil es direkt auf Fleisch bezogen ist.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_food_vegetarian.mp3]";"";"";"lang:tr-TR L1:de-DE cat:food type:single"
"Das war sehr lecker!";"Wenn du nach dem Essen das Essen loben möchtest, z.B. bei Freunden oder im Familienkreis.";"Çok lezzetliydi!";"t͡ʃok lezˈzetlijdi";"tschok lez-ZET-lii-di";"Das war sehr lecker!";"";"Sehr nette Rückmeldung an die Person, die gekocht hat. Passt auch im Restaurant, wenn du direkt mit dem Kellner sprichst.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_food_that_was_delicious.mp3]";"";"";"lang:tr-TR L1:de-DE cat:food type:single"
"Das ist wirklich lecker!";"Während du gerade isst und das Essen loben möchtest.";"Bu çok lezzetli!";"bu t͡ʃok lezˈzetli";"bu tschok lez-ZET-li";"Das ist sehr lecker!";"";"Sag das während des Essens, während du auf das Gericht zeigst oder es probierst.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_food_this_is_really_good.mp3]";"";"";"lang:tr-TR L1:de-DE cat:food type:single"
"Wo ist der Bahnhof?";"Wenn du nach dem Bahnhof/der Station fragst.";"Tren garı nerede?";"tɾen ɡaˈɾɯ neˈɾede";"tren GA-rı ne-RE-de";"Wo ist der Bahnhof?";"";"„Tren garı“ wird im Alltag sehr oft benutzt. Gut für Orientierung in der Stadt.";"";"";"";"";"";"";"";"Du kannst auch „tren istasyonu“ hören; „tren garı“ klingt etwas umgangssprachlicher.";"[sound:deDE-trTR_nav_train_station.mp3]";"";"";"lang:tr-TR L1:de-DE cat:navigation type:single"
"Wo ist die Toilette?";"Wenn du die Toilette suchst.";"Tuvalet nerede?";"tuvaˈlet neˈɾede";"tu-va-LET ne-RE-de";"Wo ist die Toilette?";"";"„Tuvalet“ ist das normale Alltagswort. Sehr häufige Frage in Cafés, Restaurants und Einkaufszentren.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_nav_toilet.mp3]";"";"";"lang:tr-TR L1:de-DE cat:navigation type:single"
"Wo ist der nächste Geldautomat?";"Wenn du Bargeld abheben möchtest.";"En yakın bankamatik nerede?";"en jaˈkɯn baŋkamaˈtik neˈɾede";"en ja-KIN ban-ka-ma-TIK ne-RE-de";"Wo ist der nächste Geldautomat?";"";"„Bankamatik“ ist ein sehr gängiges Wort für Geldautomat. Du kannst es auf der Straße oder im Laden fragen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_nav_atm.mp3]";"";"";"lang:tr-TR L1:de-DE cat:navigation type:single"
"Wie viel kostet das?";"Wenn du nach dem Preis eines Produkts fragst.";"Bu ne kadar?";"bu ne kaˈdaɾ";"bu ne ka-DAR";"Wie viel kostet das?";"";"Sag das und zeige auf den Gegenstand. Sehr einfache und extrem häufige Frage beim Einkaufen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_shop_how_much_is_this.mp3]";"";"";"lang:tr-TR L1:de-DE cat:shopping type:single"
"Kann ich mit Karte bezahlen?";"Wenn du wissen möchtest, ob Kartenzahlung möglich ist.";"Kartla ödeyebilir miyim?";"ˈkaɾtɫa ødejebiˈliɾ miˈjim";"KART-la ö-de-ye-BI-lir mi-JIM";"Kann ich mit Karte bezahlen?";"";"In vielen Läden inzwischen normal. Diese Frage ist höflich und sehr verständlich.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_shop_pay_by_card.mp3]";"";"";"lang:tr-TR L1:de-DE cat:shopping type:single"
"Ich möchte bar bezahlen.";"Wenn du klarstellen willst, dass du mit Bargeld zahlen möchtest.";"Nakit ödemek istiyorum.";"naˈkit ødeˈmek isˈtijuɾum";"na-KIT ö-de-MEK is-ti-JO-rum";"Ich möchte bar bezahlen.";"";"Nützlich, wenn der Kassierer fragt, ob Karte oder bar. Funktioniert in allen Einkaufssituationen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_shop_pay_in_cash.mp3]";"";"";"lang:tr-TR L1:de-DE cat:shopping type:single"
"Hilfe! (laut, dringend)";"In einer Notsituation, wenn du Hilfe brauchst.";"Yardım edin!";"jaɾˈdɯm eˈdin";"yar-DIM e-DIN";"Helfen Sie mir!";"";"Ruf das laut, wenn du dringend Hilfe brauchst. Es klingt ernst und wird sofort als Notruf verstanden.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_emergency_help.mp3]";"";"";"lang:tr-TR L1:de-DE cat:emergency type:single"
"Ich brauche einen Arzt!";"Wenn jemand verletzt oder krank ist und du Hilfe suchst.";"Doktora ihtiyacım var!";"dokˈtoɾa ihtijaˈd͡ʒɯm vaɾ";"dok-TO-ra ich-ti-ya-DJIM var";"Ich brauche einen Arzt!";"";"Sag das bei ernsten gesundheitlichen Problemen – auf der Straße, im Hotel oder in einer Apotheke.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_emergency_need_doctor.mp3]";"";"";"lang:tr-TR L1:de-DE cat:emergency type:single"
"Rufen Sie die Polizei!";"Wenn du dringend möchtest, dass jemand die Polizei anruft.";"Polisi arayın!";"poˈlisi aˈɾajɯn";"po-LI-si a-RA-yın";"Rufen Sie die Polizei!";"";"Sehr klare Aufforderung in Notfällen, etwa bei Diebstahl oder Gefahr.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_emergency_call_police.mp3]";"";"";"lang:tr-TR L1:de-DE cat:emergency type:single"
"Jemand kommt an (zu Besuch, ins Geschäft, nach Hause).";"Sehr typischer Begrüßungsritualsatz, wenn jemand irgendwo ankommt.";"Hoş geldiniz.";"hoʃ ɟelˈdiniz";"hosch gel-DI-niz";"Herzlich willkommen.";"Ihr seid gut/schön gekommen.";"Sehr häufige Begrüßung, wenn jemand in einen Laden, in eine Wohnung oder ins Büro kommt – vor allem, wenn ihr euch siezt.";"";"";"";"Hoş bulduk.";"hoʃ bulˈduk";"hosch bul-DUK";"Danke (für die Begrüßung).";"Informell zu einer Person sagt man oft „Hoş geldin.“ Stattdessen. Die Antwort bleibt immer „Hoş bulduk.“";"[sound:deDE-trTR_ritual_welcome_home__call.mp3]";"";"[sound:deDE-trTR_ritual_welcome_home__response.mp3]";"lang:tr-TR L1:de-DE cat:greeting_ritual type:ritual_pair"
"Verabschiedung – jemand geht, jemand bleibt.";"Typischer Abschiedsritualsatz zwischen der Person, die bleibt, und der Person, die geht.";"Güle güle.";"ɟyˈle ɟyˈle";"GÜ-le GÜ-le";"Tschüss, mach’s gut.";"Geh lachend / mit einem Lächeln.";"Das sagt meistens die Person, die bleibt, z.B. der Ladenbesitzer, wenn du hinausgehst.";"";"";"";"Hoşça kal.";"ˈhoʃt͡ʃa kaɫ";"HOSCH-tscha kal";"Mach’s gut. / Bleib gesund.";"Die Rollen sind nicht superstreng, aber grob: der Bleibende „Güle güle“, der Gehende „Hoşça kal“. Beide klingen sehr freundlich.";"[sound:deDE-trTR_ritual_goodbye_host_guest__call.mp3]";"";"[sound:deDE-trTR_ritual_goodbye_host_guest__response.mp3]";"lang:tr-TR L1:de-DE cat:greeting_ritual type:ritual_pair"
"Jemand arbeitet (Kellner, Verkäufer, Handwerker) und du willst etwas Freundliches sagen.";"Sehr typische Floskel, um arbeitende Menschen höflich anzusprechen.";"Kolay gelsin.";"koˈlaj ɟelˈsin";"ko-LAI gel-SIN";"Gutes Gelingen bei der Arbeit.";"Möge es leicht fallen.";"Sehr türkische, höfliche Formel gegenüber Menschen, die gerade arbeiten – im Laden, auf der Straße oder im Büro.";"";"";"";"Sağ olun.";"ˈsaː olun";"SAA-o-lun";"Danke.";"Du kannst „Kolay gelsin“ auch sagen, bevor du eine Frage stellst – das wirkt direkt viel sympathischer.";"[sound:deDE-trTR_ritual_work_easy__call.mp3]";"";"[sound:deDE-trTR_ritual_work_easy__response.mp3]";"lang:tr-TR L1:de-DE cat:work_ritual type:ritual_pair"
"Jemand isst oder bekommt Essen.";"Sehr verbreitete Essensfloskel vor oder während des Essens.";"Afiyet olsun.";"aˈfijet olˈsun";"a-FI-jet ol-SUN";"Guten Appetit.";"";"Wird gesagt, wenn jemand beginnt zu essen, schon am Essen ist oder Essen serviert bekommt.";"";"";"";"Size de.";"ˈsize de";"SI-ze de";"Ihnen auch. / Dir auch.";"Die Antwort kann auch einfach wieder „Afiyet olsun.“ sein. Im Alltag hört man beide Varianten.";"[sound:deDE-trTR_ritual_food_afiyet__call.mp3]";"";"[sound:deDE-trTR_ritual_food_afiyet__response.mp3]";"lang:tr-TR L1:de-DE cat:food_ritual type:ritual_pair"
"Du möchtest der Person danken, die gekocht hat.";"Typische Floskel direkt an die Person, die das Essen vorbereitet hat.";"Ellerine sağlık.";"elleɾiˈne ˈsaːɫɯk";"el-le-ri-NE SAA-lık";"Danke fürs Kochen / Sehr gut gekocht.";"Gesundheit deinen Händen.";"Sehr schöne, persönliche Art, die Köchin/den Koch zu loben. Wird im Familienkreis und bei Freunden viel benutzt.";"";"";"";"Afiyet olsun.";"aˈfijet olˈsun";"a-FI-jet ol-SUN";"Guten Appetit. / Lass es dir schmecken.";"Die Antwort „Afiyet olsun.“ funktioniert auch hier als freundliche Standardreaktion.";"[sound:deDE-trTR_ritual_food_ellersaglik__call.mp3]";"";"[sound:deDE-trTR_ritual_food_ellersaglik__response.mp3]";"lang:tr-TR L1:de-DE cat:food_ritual type:ritual_pair"
"Du gibst jemandem etwas (z.B. Essen, einen Platz, ein Dokument) oder lässt jemanden vor.";"Sehr vielseitige Höflichkeitsfloskel beim Anbieten oder Einladen.";"Buyurun.";"buˈjuɾun";"bu-JU-run";"Bitte. / Hier, bitte. / Komm(en) Sie herein.";"";"Wird benutzt beim Servieren, beim Reichen von Dingen, beim Hineinbitten oder wenn man jemanden vorlässt.";"";"";"";"Teşekkürler.";"teʃekˈkyɾleɾ";"te-schek-KÜR-ler";"Danke.";"„Buyurun“ ist extrem häufig und sehr vielseitig. Die Standardantwort ist einfach ein kurzes Dankeschön.";"[sound:deDE-trTR_ritual_offering_buyurun__call.mp3]";"";"[sound:deDE-trTR_ritual_offering_buyurun__response.mp3]";"lang:tr-TR L1:de-DE cat:ritual type:ritual_pair"
"Zahl: 1";"Beim Zählen oder Bestellen („eins“).";"Bir.";"biɾ";"bir";"eins";"";"Auch sehr häufig beim Bestellen: „Bir kahve, lütfen.“ – „Einen Kaffee, bitte.“";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_number_1.mp3]";"";"";"lang:tr-TR L1:de-DE cat:number type:single"
"Zahl: 2";"Beim Zählen oder Bestellen („zwei“).";"İki.";"iˈci";"i-KI";"zwei";"";"Wird sehr oft in Bestellungen und beim Zählen verwendet, ähnlich wie im Deutschen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_number_2.mp3]";"";"";"lang:tr-TR L1:de-DE cat:number type:single"
"Zahl: 3";"Beim Zählen oder Bestellen („drei“).";"Üç.";"yt͡ʃ";"ÜTSCH";"drei";"";"Achte auf den „tsch“-Laut am Ende – ähnlich wie im deutschen „Matsch“.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_number_3.mp3]";"";"";"lang:tr-TR L1:de-DE cat:number type:single"
"Zahl: 4";"Beim Zählen oder Bestellen („vier“).";"Dört.";"dœɾt";"DÖRT";"vier";"";"Das „ö“ klingt wie in „schön“. Wichtig für Preise und Zimmernummern.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_number_4.mp3]";"";"";"lang:tr-TR L1:de-DE cat:number type:single"
"Zahl: 5";"Beim Zählen oder Bestellen („fünf“).";"Beş.";"beʃ";"BESCH";"fünf";"";"Das „ş“ wird wie deutsches „sch“ gesprochen. Sehr häufig bei Uhrzeiten und Preisen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_number_5.mp3]";"";"";"lang:tr-TR L1:de-DE cat:number type:single"
"Zahl: 6";"Beim Zählen oder Bestellen („sechs“).";"Altı.";"alˈtɯ";"al-TI";"sechs";"";"Das letzte „ı“ ist der türkische Laut ohne Punkt – ungefähr wie ein sehr kurzes, dumpfes „i“.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_number_6.mp3]";"";"";"lang:tr-TR L1:de-DE cat:number type:single"
"Zahl: 7";"Beim Zählen oder Bestellen („sieben“).";"Yedi.";"jeˈdi";"je-DI";"sieben";"";"Das anfängliche „y“ klingt wie das deutsche „j“ in „ja“.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_number_7.mp3]";"";"";"lang:tr-TR L1:de-DE cat:number type:single"
"Zahl: 8";"Beim Zählen oder Bestellen („acht“).";"Sekiz.";"seˈkiz";"se-KIZ";"acht";"";"Sehr wichtig für Telefonnummern und Preise. Betonung liegt auf der zweiten Silbe.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_number_8.mp3]";"";"";"lang:tr-TR L1:de-DE cat:number type:single"
"Zahl: 9";"Beim Zählen oder Bestellen („neun“).";"Dokuz.";"doˈkuz";"do-KUZ";"neun";"";"Kommt häufig in Telefonnummern und Zimmernummern vor – am besten laut mitsprechen, um sich dran zu gewöhnen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_number_9.mp3]";"";"";"lang:tr-TR L1:de-DE cat:number type:single"
"Zahl: 10";"Beim Zählen oder Bestellen („zehn“).";"On.";"on";"on";"zehn";"";"Grundlage für viele weitere Zahlen, z.B. „on bir“ = elf, „on iki“ = zwölf.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_number_10.mp3]";"";"";"lang:tr-TR L1:de-DE cat:number type:single"
